Gene	RefSeq_transcript	Reason
LOC128706665	NM_001394148	Not_found_in_canonical_GTF_exon_records
LOC128706666	NM_001394149	Not_found_in_canonical_GTF_exon_records
LOC131768270	NM_001394034	Not_found_in_canonical_GTF_exon_records
LOC728743	NM_001395976	Not_found_in_canonical_GTF_exon_records
LPAR2	NM_001395660	Not_found_in_canonical_GTF_exon_records
LRRC51	NM_145309	Not_found_in_canonical_GTF_exon_records
LRRC9	NM_001395648	Not_found_in_canonical_GTF_exon_records
LUZP1	NM_001395462	Not_found_in_canonical_GTF_exon_records
LY6S	NM_001406478	Not_found_in_canonical_GTF_exon_records
LYSET	NM_001098621	Not_found_in_canonical_GTF_exon_records
MACF1	NM_001394062	Not_found_in_canonical_GTF_exon_records
MAGEB6B	NM_001396029	Not_found_in_canonical_GTF_exon_records
MAIP1	NM_001394955	Not_found_in_canonical_GTF_exon_records
MAP4K4	NM_001395002	Not_found_in_canonical_GTF_exon_records
MAP7D1	NM_001388490	Not_found_in_canonical_GTF_exon_records
MAPDA	NM_001324366	Not_found_in_canonical_GTF_exon_records
MARCHF1	NM_001394959	Not_found_in_canonical_GTF_exon_records
MAST3	NM_001393504	Not_found_in_canonical_GTF_exon_records
MATCAP1	NM_001040715	Not_found_in_canonical_GTF_exon_records
MATCAP2	NM_001199706	Not_found_in_canonical_GTF_exon_records
MATN4	NM_001393530	Not_found_in_canonical_GTF_exon_records
MBD3L1	NM_001393532	Not_found_in_canonical_GTF_exon_records
MCTS2	NM_001397496	Not_found_in_canonical_GTF_exon_records
MED12L	NM_001393769	Not_found_in_canonical_GTF_exon_records
MEG3	NR_190993	Not_found_in_canonical_GTF_exon_records
METTL13	NM_015935	Not_found_in_canonical_GTF_exon_records
METTL25B	NM_015997	Not_found_in_canonical_GTF_exon_records
MGA	NM_001400225	Not_found_in_canonical_GTF_exon_records
MIGA1	NM_001416120	Not_found_in_canonical_GTF_exon_records
MIR17HG	NR_197388	Not_found_in_canonical_GTF_exon_records
MIR2052HG	NR_197229	Not_found_in_canonical_GTF_exon_records
MISFA	NM_001355570	Not_found_in_canonical_GTF_exon_records
MIURF	NM_001414695	Not_found_in_canonical_GTF_exon_records
MIX23	NM_001017928	Not_found_in_canonical_GTF_exon_records
MOBP	NM_001393704	Not_found_in_canonical_GTF_exon_records
MRFAP1L2	NM_138699	Not_found_in_canonical_GTF_exon_records
MRGPRX1	NM_001393578	Not_found_in_canonical_GTF_exon_records
MROH2A	NM_001394639	Not_found_in_canonical_GTF_exon_records
MROH5	NM_207414	Not_found_in_canonical_GTF_exon_records
MS4A4E	NM_001393391	Not_found_in_canonical_GTF_exon_records
MSANTD5	NM_001395436	Not_found_in_canonical_GTF_exon_records
MSANTD7	NM_001378785	Not_found_in_canonical_GTF_exon_records
MSL3B	NM_001425333	Not_found_in_canonical_GTF_exon_records
MTCL1	NM_001395333	Not_found_in_canonical_GTF_exon_records
MTCL2	NM_080627	Not_found_in_canonical_GTF_exon_records
MTCL3	NM_001400265	Not_found_in_canonical_GTF_exon_records
MTNAP1	NM_001351264	Not_found_in_canonical_GTF_exon_records
MTRFR	NM_152269	Not_found_in_canonical_GTF_exon_records
MUC16	NM_001401501	Not_found_in_canonical_GTF_exon_records
MUC22	NM_001395414	Not_found_in_canonical_GTF_exon_records
MYL11	NM_013292	Not_found_in_canonical_GTF_exon_records
MYO15B	NM_001395058	Not_found_in_canonical_GTF_exon_records
MYO7B	NM_001393586	Not_found_in_canonical_GTF_exon_records
MYOCOS	NM_001391940	Not_found_in_canonical_GTF_exon_records
NALF1	NM_001080396	Not_found_in_canonical_GTF_exon_records
NALF2	NM_015686	Not_found_in_canonical_GTF_exon_records
NAV1	NM_001389617	Not_found_in_canonical_GTF_exon_records
NBPF1	NM_001405666	Not_found_in_canonical_GTF_exon_records
NBPF12	NM_001278141	Not_found_in_canonical_GTF_exon_records
NBPF14	NM_001395631	Not_found_in_canonical_GTF_exon_records
NBPF19	NM_001351365	Not_found_in_canonical_GTF_exon_records
